#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
357,0,0,53,56,0,2,3828,2
358,0,0,53,57,0,2,3828,1
359,0,0,53,58,0,2,3771,1
360,0,0,53,59,0,1,3771,2
361,0,0,53,60,0,2,3771,3
362,0,0,53,61,0,1,6086,3
363,0,0,53,62,0,2,6086,2
364,0,0,53,63,0,1,6086,1
365,0,0,53,64,0,2,4929,3
366,0,0,53,65,0,1,4929,2
367,0,0,52,1,0,2,3611,1
368,0,0,52,2,0,2,6685,2
369,0,0,52,3,0,2,6685,3
370,0,0,52,4,0,1,6685,1
371,0,0,52,5,0,1,4383,1
372,0,0,52,6,0,2,4383,2
373,0,0,52,7,0,2,4383,3
374,0,0,52,8,0,2,4059,2
375,0,0,52,9,0,1,4059,3
376,0,0,52,10,0,1,4059,1
377,0,0,52,11,0,2,2369,1
378,0,0,52,12,0,2,2369,2
379,0,0,52,13,0,2,2369,3
380,0,0,52,14,0,1,5003,3
381,0,0,52,15,0,1,5003,2
382,0,0,52,16,0,2,5003,1
383,0,0,52,17,0,2,3651,3
384,0,0,52,18,0,2,3651,2
385,0,0,52,19,0,1,3651,1
386,0,0,52,20,0,2,3612,1
387,0,0,52,21,0,1,3612,2
388,0,0,52,22,0,2,3612,3
389,0,0,52,23,0,2,4233,3
390,0,0,52,24,0,1,4233,2
391,0,0,52,25,0,2,4233,1
392,0,0,52,26,0,2,3430,1
393,0,0,52,27,0,2,3430,2
394,0,0,52,28,0,2,3430,3
395,0,0,52,29,0,1,4603,1
396,0,0,52,30,0,2,4603,2
397,0,0,52,31,0,1,4603,3
398,0,0,52,32,0,2,5842,3
399,0,0,52,33,0,2,5842,2
400,0,0,52,34,0,1,5842,1
401,0,0,52,35,0,1,3274,2
402,0,0,52,36,0,1,3274,3
403,0,0,52,37,0,2,3274,1
404,0,0,52,38,0,2,6029,3
405,0,0,52,39,0,2,6029,2
406,0,0,52,40,0,1,6029,1
407,0,0,52,41,0,2,4129,2
408,0,0,52,42,0,2,4129,3
409,0,0,52,43,0,2,4129,1
410,0,0,52,44,0,2,3942,1
411,0,0,52,45,0,1,3942,2
412,0,0,52,46,0,1,3942,3
413,0,0,52,47,0,2,3957,1
414,0,0,52,48,0,2,3957,2
415,0,0,52,49,0,2,3957,3
416,0,0,52,50,0,1,3611,3
417,0,0,52,51,0,1,3611,2
418,0,0,51,1,0,2,3748,2
419,0,0,51,2,0,2,3748,1
420,0,0,51,3,0,2,1219,3
421,0,0,51,4,0,2,1219,2
422,0,0,51,5,0,1,1219,1
423,0,0,51,6,0,2,6212,3
424,0,0,51,7,0,2,6212,2
425,0,0,51,8,0,1,6212,1
426,0,0,51,9,0,2,4941,3
427,0,0,51,10,0,1,4941,2
428,0,0,51,11,0,2,4941,1
429,0,0,51,12,0,1,4074,1
430,0,0,51,13,0,1,4074,2
431,0,0,51,14,0,2,4074,3
432,0,0,51,15,0,1,3104,1
433,0,0,51,16,0,2,3104,2
434,0,0,51,17,0,1,3104,3
435,0,0,51,18,0,2,5533,1
436,0,0,51,19,0,2,5533,2
437,0,0,51,20,0,1,5533,3
438,0,0,51,21,0,2,5985,3
439,0,0,51,22,0,1,5985,2
440,0,0,51,23,0,2,5985,1
441,0,0,51,24,0,1,6479,1
442,0,0,51,25,0,2,6479,2
443,0,0,51,26,0,2,6479,3
444,0,0,51,27,0,2,3737,1
445,0,0,51,28,0,2,3737,2
446,0,0,51,29,0,1,3737,3
447,0,0,51,30,0,2,3426,3
448,0,0,51,31,0,1,3426,2
449,0,0,51,32,0,2,3426,1
450,0,0,51,33,0,2,2823,1
451,0,0,51,34,0,1,2823,2
452,0,0,51,35,0,2,2823,3
453,0,0,51,36,0,1,3928,1
454,0,0,51,37,0,2,3928,2
455,0,0,51,38,0,1,3928,3
456,0,0,51,39,0,2,3716,1
457,0,0,51,40,0,2,3716,2
458,0,0,51,41,0,1,3716,3
459,0,0,51,42,0,2,5363,3
460,0,0,51,43,0,1,5363,2
461,0,0,51,44,0,2,5363,1
462,0,0,51,45,0,2,3622,1
